N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,400",100,-0.12%,100,"4,859,403","5,969,783",54.58,"8,337,638",21.19,9.99,
2,SK하이닉스,"133,000","2,000",-1.48%,"5,000","968,243","728,002",50.23,"2,331,538",20.36,9.53,
3,NAVER,"376,000","7,000",-1.83%,100,"617,630","164,263",57.12,"433,276",61.67,15.22,
4,삼성전자우,"74,000",200,+0.27%,100,"608,936","822,887",78.10,"916,441",19.27,N/A,
5,LG화학,"805,000","3,000",+0.37%,"5,000","568,268","70,592",44.12,"171,393",122.92,2.93,
6,삼성바이오로직스,"746,000","21,000",+2.90%,"2,500","493,591","66,165",10.23,"45,173",204.83,N/A,
7,현대차,"216,000",500,+0.23%,"5,000","461,523","213,668",30.66,"879,760",42.00,2.04,
8,삼성SDI,"654,000","7,000",+1.08%,"5,000","449,720","68,765",43.15,"196,672",80.09,4.54,
9,셀트리온,"332,500","18,500",+5.89%,"1,000","448,967","135,028",20.91,"1,222,185",89.45,16.68,
10,카카오,"488,500","6,500",-1.31%,500,"433,528","88,747",33.50,"217,077",275.06,2.70,
11,기아차,"81,000",400,+0.50%,"5,000","328,344","405,363",33.90,"1,719,095",22.07,5.05,
12,POSCO,"328,500","10,500",+3.30%,"5,000","286,409","87,187",53.83,"318,721",17.88,3.61,
13,현대모비스,"286,000","2,500",+0.88%,"5,000","271,108","94,793",39.68,"174,320",17.78,4.66,
14,LG생활건강,"1,538,000","14,000",+0.92%,"5,000","240,208","15,618",45.59,"13,433",34.16,17.92,
15,LG전자,"141,000","2,000",-1.40%,"5,000","230,743","163,648",30.93,"763,174",12.95,13.23,
16,삼성물산,"122,000","1,000",-0.81%,100,"228,002","186,887",14.91,"245,918",22.31,3.81,
17,KB금융,"53,600",400,+0.75%,"5,000","222,873","415,808",68.76,"874,794",6.45,8.53,
18,SK텔레콤,"272,000","2,000",-0.73%,500,"219,628","80,746",37.73,"260,484",14.60,6.44,
19,SK이노베이션,"206,500","2,500",-1.20%,"5,000","190,941","92,466",22.61,"286,430",-8.91,-13.58,
20,SK,"270,500","5,000",-1.81%,200,"190,325","70,360",21.33,"249,547",101.31,1.11,
21,신한지주,"36,650",100,+0.27%,"5,000","189,334","516,600",59.93,"1,072,675",5.44,8.20,
22,엔씨소프트,"836,000","62,000",-6.90%,500,"183,536","21,954",51.03,"177,862",31.25,20.83,
23,삼성생명,"76,400",800,-1.04%,500,"152,800","200,000",12.77,"272,994",12.07,3.53,
24,LG,"88,000","1,200",-1.35%,"5,000","151,850","172,557",35.14,"264,545",10.56,7.50,
25,아모레퍼시픽,"259,000","1,000",+0.39%,500,"151,407","58,458",33.22,"66,077",508.84,0.78,
26,한국전력,"23,300",50,+0.22%,"5,000","149,578","641,964",16.61,"1,057,188",7.51,2.91,
27,삼성에스디에스,"187,500","1,000",+0.54%,500,"145,083","77,378",12.23,"66,524",32.72,6.71,
28,삼성전기,"184,500","2,000",-1.07%,"5,000","137,810","74,694",34.89,"190,434",23.71,10.92,
29,하나금융지주,"41,300",550,+1.35%,"5,000","124,000","300,242",68.39,"581,946",4.70,8.96,
30,포스코케미칼,"146,500",500,+0.34%,500,"113,484","77,463",7.11,"155,628",317.79,2.96,
31,KT&G,"80,500",100,+0.12%,"5,000","110,520","137,292",39.74,"199,452",9.43,13.22,
32,HMM,"32,550","1,600",-4.69%,"5,000","107,663","330,763",11.55,"24,082,402",84.77,8.93,
33,넷마블,"125,000","1,000",-0.79%,100,"107,425","85,940",23.66,"98,367",34.27,6.35,
34,롯데케미칼,"304,000",500,-0.16%,"5,000","104,197","34,275",26.12,"113,192",65.76,1.22,
35,한국조선해양,"137,500","5,500",+4.17%,"5,000","97,313","70,773",17.87,"944,661",-11.67,-7.42,
36,한온시스템,"18,200",550,-2.93%,100,"97,152","533,800",19.57,"1,120,781",87.92,5.09,
37,SK바이오사이언스,"126,500","5,500",-4.17%,500,"96,772","76,500",3.26,"899,925",235.57,13.25,
38,대한항공,"27,550",500,-1.78%,"5,000","95,825","347,821",10.86,"2,184,492",-23.25,-7.22,
39,한화솔루션,"48,400",700,+1.47%,"5,000","92,579","191,278",17.08,"1,601,392",26.26,5.30,
40,S-Oil,"81,500",200,+0.25%,"2,500","91,755","112,583",75.83,"212,422",-11.94,-13.07,
41,삼성화재,"187,000","1,000",+0.54%,500,"88,591","47,375",46.15,"52,574",12.52,4.96,
42,빅히트,"239,000","3,000",-1.24%,500,"85,141","35,624",7.93,"142,273",N/A,12.52,
43,금호석유,"266,500","27,500",+11.51%,"5,000","81,196","30,468",26.06,"1,576,051",15.31,20.18,
